                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.83272,                0.75572,                  1.144,                0.51071,                0.00563,                 0.0508,                0.04505,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     38,                0.81935,                  0.733,                 1.1447,                0.91588,                0.00563,                0.03277,                0.02928,                    nan,                    nan,                    nan,               0.008779,               0.008779,               0.008779
                     39,                0.80973,                0.73365,                 1.1402,                0.76509,                0.00563,                0.03685,                0.03224,                    nan,                    nan,                    nan,               0.008746,               0.008746,               0.008746
                     40,                0.82236,                0.71738,                 1.1403,                0.70884,                0.00563,                0.06144,                0.05626,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     41,                0.80907,                0.71981,                 1.1365,                0.75801,                0.00549,                0.05473,                0.05303,                    nan,                    nan,                    nan,                0.00868,                0.00868,                0.00868
                     42,                 0.8083,                0.71143,                 1.1339,                0.73748,                0.00563,                0.04224,                0.03677,                    nan,                    nan,                    nan,               0.008647,               0.008647,               0.008647
                     43,                0.81329,                0.70471,                  1.142,                0.38656,                0.00563,                0.05519,                0.04932,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     44,                0.79425,                 0.6913,                  1.125,                0.66183,                0.00563,                 0.0386,                0.03411,                    nan,                    nan,                    nan,               0.008581,               0.008581,               0.008581
                     45,                0.80125,                0.69526,                 1.1278,                0.48273,                0.00563,                0.06545,                0.05745,                    nan,                    nan,                    nan,               0.008548,               0.008548,               0.008548
                     46,                0.79926,                 0.6974,                 1.1251,                0.60685,                0.00563,                0.06576,                0.05823,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     47,                0.79315,                0.69471,                 1.1168,                0.68515,                0.00549,                0.06146,                0.05367,                    nan,                    nan,                    nan,               0.008482,               0.008482,               0.008482
                     48,                0.80183,                0.69228,                 1.1269,                0.44136,                0.00549,                0.04961,                0.04509,                    nan,                    nan,                    nan,               0.008449,               0.008449,               0.008449
                     49,                0.78003,                0.67196,                 1.1153,                0.76434,                0.00563,                0.07589,                 0.0673,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     50,                0.78483,                0.67428,                 1.1174,                0.55185,                0.00563,                0.03192,                0.02907,                    nan,                    nan,                    nan,               0.008383,               0.008383,               0.008383
                     51,                0.77136,                0.65408,                 1.1114,                0.47462,                0.00563,                0.02639,                0.02325,                    nan,                    nan,                    nan,                0.00835,                0.00835,                0.00835
                     52,                0.77393,                0.66562,                 1.1089,                0.51863,                0.00563,                0.04225,                 0.0374,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     53,                0.78218,                 0.6698,                 1.1136,                 0.5542,                0.00563,                0.02388,                0.02119,                    nan,                    nan,                    nan,               0.008284,               0.008284,               0.008284
                     54,                0.76997,                0.65869,                 1.1119,                0.79506,                0.00563,                0.03492,                0.03033,                    nan,                    nan,                    nan,               0.008251,               0.008251,               0.008251
                     55,                0.77567,                0.65574,                 1.1133,                0.61086,                0.00549,                0.03977,                0.03576,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     56,                0.76819,                0.65024,                 1.1064,                0.74773,                0.00563,                0.04775,                0.04166,                    nan,                    nan,                    nan,               0.008185,               0.008185,               0.008185
                     57,                0.77146,                0.64046,                 1.1045,                 0.7977,                0.00563,                0.06328,                0.05631,                    nan,                    nan,                    nan,               0.008152,               0.008152,               0.008152
                     58,                0.77891,                0.64074,                  1.111,                0.61587,                0.00563,                0.10198,                0.08896,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     59,                0.76492,                0.64611,                 1.1098,                 0.6445,                0.00563,                0.05293,                0.04765,                    nan,                    nan,                    nan,               0.008086,               0.008086,               0.008086
                     60,                0.75947,                0.63791,                 1.1007,                 0.6428,                0.00563,                0.02938,                0.02631,                    nan,                    nan,                    nan,               0.008053,               0.008053,               0.008053
                     61,                0.76174,                0.63934,                 1.1093,                0.67863,                0.00563,                0.07395,                0.06615,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     62,                0.74929,                0.63254,                 1.1015,                0.39886,                0.00563,                 0.0569,                 0.0525,                    nan,                    nan,                    nan,               0.007987,               0.007987,               0.007987
                     63,                0.75184,                 0.6329,                 1.1053,                0.65528,                0.00563,                0.07389,                0.07007,                    nan,                    nan,                    nan,               0.007954,               0.007954,               0.007954
                     64,                0.75854,                0.61655,                  1.099,                0.55521,                0.00563,                0.07357,                0.07028,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     65,                0.75101,                 0.6171,                 1.0966,                0.47056,                0.00563,                0.05658,                0.05039,                    nan,                    nan,                    nan,               0.007888,               0.007888,               0.007888
                     66,                0.75281,                0.62028,                 1.0947,                0.64933,                0.00563,                 0.0288,                0.02534,                    nan,                    nan,                    nan,               0.007855,               0.007855,               0.007855
                     67,                0.73455,                0.60043,                  1.085,                0.64074,                0.00563,                0.06417,                0.05681,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     68,                0.73925,                0.60991,                 1.0933,                0.39434,                0.00563,                0.05166,                0.04779,                    nan,                    nan,                    nan,               0.007789,               0.007789,               0.007789
                     69,                0.74668,                0.61755,                 1.0984,                0.55534,                0.00563,                 0.0785,                0.07366,                    nan,                    nan,                    nan,               0.007756,               0.007756,               0.007756
                     70,                0.75337,                0.61862,                 1.1077,                0.39077,                0.00563,                0.05539,                0.04892,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     71,                0.73737,                0.60244,                 1.0916,                0.41751,                0.00563,                0.07659,                0.06902,                    nan,                    nan,                    nan,                0.00769,                0.00769,                0.00769
                     72,                0.73164,                0.59666,                 1.0851,                0.57364,                0.00563,                0.08005,                0.06919,                    nan,                    nan,                    nan,               0.007657,               0.007657,               0.007657
                     73,                0.73524,                0.59097,                 1.0864,                0.38889,                0.00563,                0.09661,                0.08515,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     74,                0.73162,                0.59166,                 1.0882,                0.33917,                0.00563,                0.08577,                0.07716,                    nan,                    nan,                    nan,               0.007591,               0.007591,               0.007591
                     75,                0.73079,                 0.5987,                 1.0847,                0.52112,                0.00563,                0.06188,                0.05572,                    nan,                    nan,                    nan,               0.007558,               0.007558,               0.007558
                     76,                0.72919,                0.58664,                  1.092,                0.46137,                0.00563,                 0.0633,                  0.057,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     77,                0.72251,                0.58987,                 1.0859,                0.56148,                0.00563,                0.06707,                0.06479,                    nan,                    nan,                    nan,               0.007492,               0.007492,               0.007492
                     78,                0.72024,                0.58479,                 1.0846,                0.64472,                0.00563,                0.09557,                0.09056,                    nan,                    nan,                    nan,               0.007459,               0.007459,               0.007459
                     79,                0.72482,                0.57618,                  1.082,                0.81499,                0.00563,                0.06375,                0.05544,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     80,                0.70721,                0.57207,                 1.0785,                0.41156,                0.00563,                0.03596,                0.03273,                    nan,                    nan,                    nan,               0.007393,               0.007393,               0.007393
                     81,                0.73152,                0.57964,                 1.0855,                 0.5679,                0.00563,                0.05081,                0.04754,                    nan,                    nan,                    nan,                0.00736,                0.00736,                0.00736
                     82,                0.71629,                 0.5729,                 1.0835,                0.49001,                0.00563,                0.06573,                0.06224,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     83,                0.71163,                0.55739,                  1.071,                0.65409,                0.00563,                0.06776,                0.06075,                    nan,                    nan,                    nan,               0.007294,               0.007294,               0.007294
                     84,                0.71349,                0.57217,                 1.0771,                0.56057,                0.00563,                0.04536,                0.04336,                    nan,                    nan,                    nan,               0.007261,               0.007261,               0.007261
                     85,                0.71756,                0.56831,                 1.0763,                0.49104,                0.00563,                0.06906,                0.06575,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     86,                0.70681,                 0.5653,                 1.0724,                0.57391,                0.00563,                0.04992,                0.04644,                    nan,                    nan,                    nan,               0.007195,               0.007195,               0.007195
                     87,                0.70509,                0.56402,                 1.0762,                0.40055,                0.00563,                0.05724,                0.05184,                    nan,                    nan,                    nan,               0.007162,               0.007162,               0.007162
                     88,                0.70112,                0.56451,                 1.0727,                0.57169,                0.00563,                0.06369,                 0.0615,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     89,                0.70232,                0.55532,                 1.0693,                 0.8887,                0.00563,                0.05609,                0.05153,                    nan,                    nan,                    nan,               0.007096,               0.007096,               0.007096
                     90,                0.69468,                0.55229,                 1.0696,                0.52319,                0.00563,                0.03486,                0.03134,                    nan,                    nan,                    nan,               0.007063,               0.007063,               0.007063
                     91,                0.70083,                 0.5623,                 1.0745,                 0.5681,                0.00563,                0.06077,                0.05703,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     92,                0.70091,                0.54891,                 1.0657,                0.54237,                0.00563,                0.13008,                0.12057,                    nan,                    nan,                    nan,               0.006997,               0.006997,               0.006997
                     93,                0.70203,                0.54922,                  1.073,                0.47163,                0.00563,                0.04037,                0.03671,                    nan,                    nan,                    nan,               0.006964,               0.006964,               0.006964
                     94,                0.70097,                0.54766,                 1.0643,                0.65881,                0.00563,                0.06667,                0.06034,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     95,                0.69022,                0.54009,                 1.0595,                0.57959,                0.00563,                0.11293,                0.10205,                    nan,                    nan,                    nan,               0.006898,               0.006898,               0.006898
